borough_code,borough,n_dwellings
E09000002,Barking and Dagenham,51530
E09000003,Barnet,129980
E09000004,Bexley,83990
E09000005,Brent,91460
E09000006,Bromley,119410
E09000007,Camden,69530
E09000001,City of London,5660
E09000008,Croydon,130980
E09000009,Ealing,108500
E09000010,Enfield,106830
E09000011,Greenwich,74860
E09000012,Hackney,63000
E09000013,Hammersmith and Fulham,60850
E09000014,Haringey,80250
E09000015,Harrow,80850
E09000016,Havering,87390
E09000017,Hillingdon,90720
E09000018,Hounslow,73270
E09000019,Islington,61250
E09000020,Kensington and Chelsea,67720
E09000021,Kingston upon Thames,59530
E09000022,Lambeth,90680
E09000023,Lewisham,88670
E09000024,Merton,72250
E09000025,Newham,82280
E09000026,Redbridge,94160
E09000027,Richmond upon Thames,74790
E09000028,Southwark,76430
E09000029,Sutton,70380
E09000030,Tower Hamlets,74830
E09000031,Waltham Forest,80070
E09000032,Wandsworth,116080
E09000033,Westminster,95930
