borough,mean_18,median_18
Camden,2106,1993
City of London,2732,2297
Hackney,1785,1690
Hammersmith and Fulham,1764,1712
Haringey,1473,1450
Islington,1991,1907
Kensington and Chelsea,2919,2708
Lambeth,1617,1582
Lewisham,1393,1400
Newham,1414,1400
Southwark,1674,1560
Tower Hamlets,1869,1700
Wandsworth,1734,1650
Westminster,2772,2492
Barking and Dagenham,1188,1200
Barnet,1406,1352
Bexley,1041,1025
Brent,1527,1500
Bromley,1218,1200
Croydon,1185,1200
Ealing,1486,1447
Enfield,1303,1300
Greenwich,1414,1350
Harrow,1328,1300
Havering,1111,1100
Hillingdon,1254,1250
Hounslow,1332,1275
Kingston upon Thames,1382,1350
Merton,1481,1410
Redbridge,1228,1200
Richmond upon Thames,1647,1540
Sutton,1170,1175
Waltham Forest,1297,1300
